abbreviation	school	mascot	division
EAS	East Stroudsburg	Warriors	?
ETSU	East Tennessee State	Buccaneers	?
EAS	East Texas Baptist	Tigers	?
EDI	Edinboro	Fighting Scots	?
ELI	Elizabeth City State	Vikings	?
ELM	Elmhurst	Blue Jays	?
ELON	Elon	Phoenix	?
EMO	Emory & Henry	Wasps	?
EMP	Emporia State	Hornets	?
END	Endicott College	Gulls	?
ECC	Erie Community College	Kats	?
EUR	Eureka College	Red Devils	?
EVA	Evangel	Crusaders	?
FAI	Fairmont State	Falcons	?
FAU	Faulkner	Eagles	?
FAY	Fayetteville State	Broncos	?
FDU	FDU-Florham	Devils	?
FER	Ferris State	Bulldogs	?
FER	Ferrum	Panthers	?
FIN	Findlay	Oilers	?
FIT	Fitchburg State	Falcons	?
FLA	Florida	Gators	FBS
FAMU	Florida A&M	Rattlers	?
FAU	Florida Atlantic	Owls	FBS
FIU	Florida International	Golden Panthers	FBS
FSU	Florida State	Seminoles	FBS
FLTH	Florida Tech	Panthers	?
FOR	Fordham	Rams	?
FHSU	Fort Hays State	Tigers	?
FOR	Fort Lewis	Skyhawks	?
FOR	Fort Valley State	Wildcats	?
FRA	Framingham State	Rams	?
FRA	Franklin	Grizzlies	?
F&M	Franklin & Marshall	Diplomats	?
FRES	Fresno State	Bulldogs	FBS
FRO	Frostburg State	Bobcats	?
FUR	Furman	Paladins	?
GAL	Gallaudet	Bison	?
GAN	Gannon	Golden Knights	?
WEBB	Gardner-Webb	Bulldogs	?
GEN	Geneva College	Golden Tornadoes	?
GFU	George Fox University	Bruins	?
GMU	George Mason	Patriots	?
GTWN	Georgetown	Hoyas	?
UGA	Georgia	Bulldogs	FBS
GASO	Georgia Southern	Eagles	FBS
GAST	Georgia State	Panthers	FBS
GT	Georgia Tech	Yellow Jackets	FBS
GET	Gettysburg	Bullets	?
GLE	Glenville State	Pioneers	?
GRC	Graceland University	Yellowjackets	?
GRAM	Grambling	Tigers	?
GVSU	Grand Valley State	Lakers	?
GRN	Greensboro	Pride	?
GRE	Greenville	Panthers	?
GRI	Grinnell	Pioneers	?
GRO	Grove City College	Wolverines	?
GUI	Guilford	Quakers	?
GUS	Gustavus Adolphus	Golden Gusties	?
HAM	Hamilton	Continentals	?
HAM	Hamline	Fighting Pipers	?
HAM	Hampden-Sydney	Tigers	?
HAMP	Hampton	Pirates	?
HAN	Hanover	Panthers	?
HAR	Harding	Bison	?
HAR	Hardin-Simmons	Cowboys	?
HAR	Hartwick	Hawks	?
HARV	Harvard	Crimson	FCS
HAS	Haskell Indian Nations	Jayhawks	?
HAW	Hawai'i	Rainbow Warriors	FBS
HEI	Heidelberg	Student Princes	?
HEN	Henderson State	Reddies	?
HEND	Hendrix College	Warriors	?
HIL	Hillsdale	Chargers	?
HIR	Hiram	Terriers	?
HOB	Hobart	Statesmen	?
HC	Holland College	Hurricanes	?
HC	Holy Cross	Crusaders	?
HOP	Hope	Flying Dutchmen	?
HOU	Houston	Cougars	FBS
HBU	Houston Baptist	Huskies	?
HOW	Howard	Bison	?
HOW	Howard Payne	Yellow Jackets	?
HUM	Humboldt State	Lumberjacks	?
HUN	Huntingdon	Hawks	?
HUS	Husson	Eagles	?
IDHO	Idaho	Vandals	FCS
IDST	Idaho State	Bengals	?
ILL	Illinois	Fighting Illini	FBS
ILLC	Illinois College	Blueboys	?
ILST	Illinois State	Redbirds	FCS
ILL	Illinois Wesleyan	Titans	?
IW	Incarnate Word	Cardinals	FCS
IND	Indiana	Hoosiers	FBS
IND	Indiana (PA)	Crimson Hawks	?
IND	Indianapolis	Greyhounds	?
INST	Indiana State	Sycamores	?
IOWA	Iowa	Hawkeyes	FBS
ISU	Iowa State	Cyclones	FBS
IOW	Iowa Wesleyan	Tigers	?
ITH	Ithaca	Bombers	?
JKST	Jackson State	Tigers	?
JAC	Jacksonville	Dolphins	?
JVST	Jacksonville State	Gamecocks	FCS
JMU	James Madison	Dukes	FCS
JAM	Jamestown	Jimmies	?
JOH	John Carroll	Blue Streaks	?
JOH	Johns Hopkins	Blue Jays	?
JOH	Johnson C Smith	Golden Bulls	?
JUN	Juniata	Eagles	?
KAL	Kalamazoo	Hornets	?
KU	Kansas	Jayhawks	FBS
KSU	Kansas State	Wildcats	FBS
KNW	Kansas Wesleyan University	Coyotes	?
KENN	Kennesaw State	Owls	?
KENT	Kent State	Golden Flashes	FBS
UK	Kentucky	Wildcats	FBS
KYS	Kentucky State	Thorobreds	?
KYW	Kentucky Wesleyan	Panthers	?
KEN	Kenyon	Lords	?
KIN	King's College (PA)	Monarchs	?
KUT	Kutztown	Golden Bears	?
LAF	Lafayette	Leopards	?
LAG	LaGrange College	Panthers	?
LKE	Lake Erie College	Storm	?
LAK	Lake Forest	Foresters	?
LAM	Lamar	Cardinals	FCS
LAM	Lambuth	Eagles	?
LAN	Langston	Lions	?
LAV	La Verne	Leopards	?
LAW	Lawrence	Vikings	?
LEB	Lebanon Valley	Flying Dutchmen	?
LEH	Lehigh	Mountain Hawks	?
LEN	Lenoir-Rhyne	Bears	?
LEW	Lewis & Clark	Pioneers	?
LIB	Liberty	Flames	FBS
LIM	Limestone	Saints	?
LIN	Lincoln (MO)	Blue Tigers	?
LIN	Lincoln (PA)	Lions	?
LIN	Lindenwood	Lions	?
LIND	Lindenwood Belleville	Lynx	?
LIN	Lindsey Wilson	Blue Raiders	?
LIN	Linfield	Wildcats	?
LIU	LIU Post	Pioneers	?
LVI	Livingstone	Blue Bears	?
LOC	Lock Haven	Bald Eagles	?
ULL	Louisiana	Ragin' Cajuns	FBS
LAC	Louisiana College	Wildcats	?
ULM	Louisiana Monroe	Warhawks	FBS
LT	Louisiana Tech	Bulldogs	FBS
LOU	Louisville	Cardinals	FBS
LSU	LSU	Tigers	FBS
LUT	Luther	Norse	?
LYC	Lycoming	Warriors	?
MAC	Macalester	Scots	?
MAC	MacMurray College	Highlanders	?
MAINE	Maine	Black Bears	?
MAI	Maine Maritime	Mariners	?
MAL	Malone	Pioneers	?
MAN	Manchester	Spartans	?
MAN	Manitoba	Bisons	?
MAN	Mansfield	Mountaineers	?
MAR	Maranatha Baptist College	Crusaders	?
MAR	Marian	Knights	?
MAR	Marietta	Pioneers	?
MRST	Marist	Red Foxes	?
MRSH	Marshall	Thundering Herd	FBS
MAR	Mars Hill	Lions	?
MAR	Martin Luther College	Knights	?
MAR	Mary Hardin-Baylor	Crusaders	?
MD	Maryland	Terrapins	FBS
MAR	Maryville TN	Fighting Scots	?
MAS	Mass Maritime	Buccaneers	?
MAY	Mayville State	Comets	?
MCD	McDaniel College	Terrors	?
MCM	McMurry	War Hawks	?
MCNS	McNeese	Cowboys	FCS
MEM	Memphis	Tigers	FBS
MEN	Menlo	Oaks	?
MER	Mercer	Bears	?
MER	Merchant Marine	Mariners	?
MER	Mercyhurst	Lakers	?
MER	Merrimack	Warriors	?
MTH	Methodist	Monarchs	?
MIAMI	Miami	Hurricanes	FBS
M-OH	Miami (OH)	RedHawks	FBS
MICH	Michigan	Wolverines	FBS
MSU	Michigan State	Spartans	FBS
MIC	Michigan Tech	Huskies	?
MID	Middlebury	Panthers	?
MTSU	Middle Tennessee	Blue Raiders	FBS
MID	Midland University	Warriors	?
MID	Midwestern State	Mustangs	?
MIL	Miles	Golden Bears	?
MIL	Millersville	Marauders	?
MIL	Millikin	Big Blue	?
MIL	Millsaps	Majors	?
MINN	Minnesota	Golden Gophers	FBS
MIN	Minnesota-Crookston	Golden Eagles	?
MNDU	Minnesota-Duluth	Bulldogs	?
MIN	Minnesota-Morris	Cougars	?
MNST	Minnesota State	Mavericks	?
MOO	Minnesota St-Moorhead	Dragon	?
MIN	Minot State	Beavers	?
MISC	Misericordia	Cougars	?
MIS	Mississippi College	Choctaws	?
MSST	Mississippi State	Bulldogs	FBS
MVSU	Mississippi Valley State	Delta Devils	?
MIZ	Missouri	Tigers	FBS
MB	Missouri Baptist	Spartans	?
MOS	Missouri Southern State	Lions	?
S&T	Missouri S&T	Miners	?
MOST	Missouri State	Bears	?
MOW	Missouri Western	Griffons	?
MONM	Monmouth	Hawks	?
MON	Monmouth (IL)	Fighting Scots	?
MONT	Montana	Grizzlies	?
MTST	Montana State	Bobcats	?
MWST	Montana-Western	Bulldogs	?
MON	Montclair State	Red Hawks	?
MON	Monterrey Tech	Rams	?
MOR	Moravian	Greyhounds	?
MORE	Morehead State	Eagles	?
MOR	Morehouse	Tigers	?
MORG	Morgan State	Bears	?
MAO	Morningside	Chiefs	?
MOR	Morrisville State	Mustangs	?
MOU	Mount Ida College	Mustangs	?
MTS	Mount St. Joseph	Lions	?
MTU	Mount Union	Raiders	?
MUH	Muhlenberg	Mules	?
MURR	Murray State	Racers	?
MUS	Muskingum	Muskies	?
NAVY	Navy	Midshipmen	FBS
NCST	NC State	Wolfpack	FBS
UNCW	NC Wesleyan	Battling Bishops	?
NEB	Nebraska	Cornhuskers	FBS
NEB	Nebraska-Kearney	Lopers	?
UNO	Nebraska-Omaha	Mavericks	?
NEV	Nevada	Wolf Pack	FBS
NBY	Newberry	Wolves	?
UNH	New Hampshire	Wildcats	?
NH	New Haven	Chargers	?
UNM	New Mexico	Lobos	FBS
NMH	New Mexico Highlands	Cowboys	?
NMSU	New Mexico State	Aggies	FBS
NICH	Nicholls	Colonels	?
NIC	Nichols	Bison	?
NSU	Norfolk State	Spartans	?
NOR	North Alabama	Lions	?
UNC	North Carolina	Tar Heels	FBS
NCAT	North Carolina A&T	Aggies	?
NCCU	North Carolina Central	Eagles	?
NOC	North Central	Cardinals	?
UND	North Dakota	Fighting Hawks	FCS
NDSU	North Dakota State	Bison	FCS
NEO	Northeastern State	RiverHawks	?
NAU	Northern Arizona	Lumberjacks	?
UNCO	Northern Colorado	Bears	?
NIU	Northern Illinois	Huskies	FBS
UNI	Northern Iowa	Panthers	FCS
NOR	Northern Michigan	Wildcats	?
NOR	Northern State	Wolves	?
NGR	North Greenville	Crusaders	?
NOR	North Park	Vikings	?
UNT	North Texas	Mean Green	FBS
NW	Northwestern	Wildcats	FBS
NWM	Northwestern (MN)	Eagles	?
NWO	Northwestern Oklahoma State	Rangers	?
NWST	Northwestern State	Demons	?
NWMS	Northwest Missouri State	Bearcats	?
NAR	Northwood (MI)	Timberwolves	?
NOR	Norwich	Cadets	?
ND	Notre Dame	Fighting Irish	FBS
NOT	Notre Dame College	Blue Falcons	?
OBE	Oberlin	Yeomen	?
OCC	Occidental	Tigers	?
OHIO	Ohio	Bobcats	FBS
OMW	Ohio Midwestern College	Rams	?
ON	Ohio Northern	Polar Bears	?
OSU	Ohio State	Buckeyes	FBS
OSU	Ohio State Newark	Titans	?
OHI	Ohio Wesleyan	Battling Bishops	?
OKLA	Oklahoma	Sooners	FBS
OB	Oklahoma Baptist	Bison	?
OKST	Oklahoma State	Cowboys	FBS
OKP	OK Panhandle St	Aggies	?
ODU	Old Dominion	Monarchs	FBS
MISS	Ole Miss	Rebels	FBS
OLI	Olivet College	Comets	?
ORE	Oregon	Ducks	FBS
ORST	Oregon State	Beavers	FBS
OTT	Otterbein	Cardinals	?
OUA	Ouachita Baptist	Tigers	?
PAC	Pace	Setters	?
PAC	Pacific Lutheran	Lutes	?
PAC	Pacific (OR)	Boxers	?
PSU	Penn State	Nittany Lions	FBS
PENN	Pennsylvania	Quakers	FCS
PIK	Pikeville	Bears	?
PITT	Pittsburgh	Panthers	FBS
PIT	Pittsburg State	Gorillas	2
PLY	Plymouth State	Panthers	?
POINT	Point University	Point	?
POM	Pomona-Pitzer	Sagehens	?
PRST	Portland State	Vikings	FCS
PVAM	Prairie View	Panthers	?
PRE	Presbyterian College	Blue Hose	?
PRE	Presentation College	Saints	?
PRIN	Princeton	Tigers	FCS
PRI	Principia College	Panthers	?
PUG	Puget Sound	Loggers	?
PUR	Purdue	Boilermakers	FBS
QUI	Quincy	Hawks	?
RAN	Randolph-Macon	Yellow Jackets	?
RED	Redlands	Bulldogs	?
REIN	Reinhardt	Eagles	?
REN	Rensselaer	Engineers	?
URI	Rhode Island	Rams	FCS
RHO	Rhodes	Lynx	?
RICE	Rice	Owls	FBS
RICH	Richmond	Spiders	?
RIPON	Ripon	Redhawks	?
RMU	Robert Morris	Colonials	?
RMU	Robert Morris (IL)	Eagles	?
ROC	Rochester	Yellow Jackets	?
ROC	Rockford	Regents	?
ROS	Rose-Hulman	Engineers	?
ROWAN	Rowan	Professors	?
RUTG	Rutgers	Scarlet Knights	FBS
SAC	Sacramento State	Hornets	?
SHU	Sacred Heart	Pioneers	?
SAG	Saginaw Valley	Cardinals	?
SAL	Salisbury	Sea Gulls	?
SAL	Salve Regina	Seahawks	?
SAM	Samford	Bulldogs	?
SHSU	Sam Houston State	Bearkats	FCS
USD	San Diego	Toreros	?
SDSU	San Diego State	Aztecs	FBS
SJSU	San José State	Spartans	FBS
SAV	Savannah State	Tigers	?
SET	Seton Hill College	Griffins	?
SEW	Sewanee Univ. of the South	Tigers	?
SHA	Shaw	Bears	?
SHE	Shenandoah	Hornets	?
SHE	Shepherd	Rams	?
STC	Shepherd Tech	Eagles	?
SHI	Shippensburg	Raiders	?
SH	Siena Heights	Saints	?
SIM	Simon Fraser	Clansmen	?
SIM	Simpson College	Storm	?
SRU	Slippery Rock	The Rock	?
SMU	SMU	Mustangs	FBS
USA	South Alabama	Jaguars	FBS
SC	South Carolina	Gamecocks	FBS
SCST	South Carolina State	Bulldogs	?
SDAK	South Dakota	Coyotes	?
SDA	South Dakota Mines	Hardrockers	?
SDSU	South Dakota State	Jackrabbits	FCS
SELA	Southeastern Louisiana	Lions	?
SEOS	Southeastern Oklahoma	Savage Storm	?
SEFL	Southeastern University	Fire	?
SEMO	Southeast Missouri State	Redhawks	?
SOU	Southern	Jaguars	FCS
SOU	Southern Arkansas	Muleriders	?
SOU	Southern Connecticut State	Owls	?
SIU	Southern Illinois	Salukis	?
USM	Southern Mississippi	Golden Eagles	FBS
STN	Southern Nazarene	Crimson Storm	?
SOU	Southern Oregon	Raiders	?
SUU	Southern Utah	Thunderbirds	?
SVA	Southern Virginia	Knights	?
USF	South Florida	Bulls	FBS
SWB	Southwest Baptist	Bearcats	?
SWA	Southwestern Assemblies of God	Lions	?
SWC	Southwestern College	Moundbuilders	?
SWO	Southwestern Oklahoma	Bulldogs	?
SWM	Southwest Minnesota State	Mustangs	?
SPR	Springfield	Pride	?
STA	St. Ambrose	Fighting Bees	?
STAN	Stanford	Cardinal	FBS
STA	St. Anselm	Hawks	?
STA	St. Augustine's	Falcons	?
STC	St. Cloud State	Huskies	?
SFA	Stephen F. Austin	Lumberjacks	FCS
STC	Sterling College	Warriors	?
STET	Stetson	Hatters	?
STU	Stevenson	Mustangs	?
SFIL	St. Francis (IL)	Fighting Saints	?
SBP	St. Francis (IN)	Cougars	?
SFU	St Francis (PA)	Red Flash	?
STJ	St. John Fisher	Cardinals	?
STJ	St. Johns (MN)	Johnnies	?
STL	St Lawrence	Saints	?
STN	St. Norbert	Green Knights	?
STO	St. Olaf College	Oles	?
SBI	Stonehill	Chieftains	?
STON	Stony Brook	Seawolves	?
STP	St. Paul's College	Tigers	?
SPU	St. Peter's	Peacocks	?
SS	St. Scholastica	College of St. Scholastica	?
STMN	St. Thomas (MN)	Tommies	?
STV	St. Vincent	Bearcats	?
STX	St. Xavier (IL)	Cougars	?
SUL	Sul Ross State	Lobos	?
COR	SUNY Cortland	Red Dragons	?
MAR	SUNY Maritime	Privateers	?
SUS	Susquehanna	Crusaders	?
SYR	Syracuse	Orange	FBS
TAR	Tarleton State	Texans	?
TCU	TCU	Horned Frogs	FBS
TEM	Temple	Owls	FBS
TENN	Tennessee	Volunteers	FBS
TNST	Tennessee State	Tigers	?
TNTC	Tennessee Tech	Golden Eagles	?
TEX	Texas	Longhorns	FBS
TA&M	Texas A&M	Aggies	FBS
TXA	Texas A&M-Commerce	Lions	?
TXA	Texas A&M-Kingsville	Javelinas	?
TXCL	Texas College	Steers	?
TEX	Texas Lutheran	Bulldogs	?
TXSO	Texas Southern	Tigers	?
TXST	Texas State	Bobcats	FBS
TTU	Texas Tech	Red Raiders	FBS
CIT	The Citadel	Bulldogs	?
THO	Thomas More	Saints	?
TIF	Tiffin	Dragons	?
TOL	Toledo	Rockets	FBS
TOWS	Towson	Tigers	?
TRI	Trine	Thunder	?
TRI	Trinity Bible	Lions	?
TRI	Trinity (CT)	Bantams	?
TRI	Trinity (IL)	Trojans	?
TRI	Trinity (TX)	Tigers	?
TROY	Troy	Trojans	FBS
TRU	Truman State	Bulldogs	?
TUF	Tufts	Jumbos	?
TULN	Tulane	Green Wave	FBS
TLSA	Tulsa	Golden Hurricane	FBS
TUS	Tusculum	Pioneers	?
TUS	Tuskegee	Golden Tigers	?
UAB	UAB	Blazers	FBS
UCD	UC Davis	Aggies	?
UCF	UCF	Knights	FBS
UCLA	UCLA	Bruins	FBS
UMASS	UMass	Minutemen	FBS
MAS	UMass Dartmouth	Corsairs	?
UML	UMass Lowell	River Hawks	?
NCP	UNC Pembroke	Braves	?
UNI	Union	Dutchmen	?
UFFL	University of Faith	Glory Eagles	?
UNLV	UNLV	Rebels	FBS
UI	Upper Iowa	Peacocks	?
URB	Urbana	Blue Knights	?
URS	Ursinus	Bears	?
USC	USC	Trojans	FBS
UTAH	Utah	Utes	FBS
USU	Utah State	Aggies	FBS
UTEP	UTEP	Miners	FBS
UTICA	Utica	Pioneers	?
UTM	UT Martin	Skyhawks	?
UTSA	UT San Antonio	Roadrunners	FBS
VAW	UVA-Wise	Highland Cavaliers	?
WIS	UW-Oshkosh	Titans	?
WIS	UW-River Falls	Falcons	?
WIS	UW-Stout	Blue Devils	?
WISW	UW-Whitewater	Warhawks	?
VAL	Valdosta State	Blazers	?
VAL	Valley City State	Vikings	?
VALP	Valparaiso	Crusaders	?
VAN	Vanderbilt	Commodores	FBS
NOVA	Villanova	Wildcats	FCS
UVA	Virginia	Cavaliers	FBS
VIR	Virginia State	Trojans	?
VT	Virginia Tech	Hokies	FBS
VMI	VMI	Keydets	?
WAB	Wabash College	Little Giants	?
WAG	Wagner	Seahawks	?
WAKE	Wake Forest	Demon Deacons	FBS
WAL	Waldorf	Warriors	?
WALSH	Walsh	Cavaliers	?
UWS	Warner	Royals	?
WAR	Wartburg	Knights	?
WAS	Washburn	Ichabods	?
WASH	Washington	Huskies	FBS
WAS	Washington & Jefferson	Presidents	?
UWL	Washington & Lee	Generals	?
WAS	Washington (MO)	Bears	?
WSU	Washington State	Cougars	FBS
WAY	Wayland Baptist	Pioneers	?
WAY	Waynesburg	Yellow Jackets	?
WAY	Wayne State (MI)	Warriors	?
WAY	Wayne State (NE)	Wildcats	?
WEBB	Webber International	Warriors	?
WEB	Weber State	Wildcats	?
WES	Wesleyan	Cardinals	?
WES	Wesley College	Wolverines	?
WES	West Alabama	Tigers	?
WES	West Chester	Golden Rams	?
WCU	Western Carolina	Catamounts	FCS
WES	Western Connecticut State	Colonials	?
WIU	Western Illinois	Leathernecks	?
WKU	Western Kentucky	Hilltoppers	FBS
WMU	Western Michigan	Broncos	FBS
WES	Western New England	Golden Bears	?
WES	Western New Mexico	Mustangs	?
WES	Western Oregon	Wolves	?
WES	Western State	Mountaineers	?
WES	Western Washington	Vikings	?
WES	Westfield State	Owls	?
WES	West Georgia	Wolves	?
WES	West Liberty	Hilltoppers	?
WMN	Westminster	Blue Jays	?
WMN	Westminster PA	Titans	?
WES	West Texas A&M	Buffaloes	?
WVU	West Virginia	Mountaineers	FBS
WVT	West Virginia Tech	Golden Bears	?
WHE	Wheaton College (Ill)	Thunder	?
WHI	Whittier	Poets	?
WHI	Whitworth	Pirates	?
WID	Widener	Pride	?
WIL	Wilkes	Colonels	?
WIL	Willamette	Bearcats	?
WJC	William Jewell College	Cardinals	?
W&M	William & Mary	Tribe	?
WMP	William Paterson	Pioneers	?
WIL	William Penn	Statesmen	?
WIL	Williams	Ephs	?
WIL	Williamson Trade	Mechanics	?
WIL	Wilmington (OH)	Quakers	?
WIN	Wingate	Bulldogs	?
WIN	Winona State	Warriors	?
WSSU	Winston-Salem	Rams	?
WIS	Wisconsin	Badgers	FBS
WIS	Wisconsin-Eau Claire	Blugolds	?
WIS	Wisconsin-La Crosse	Eagles	?
WIS	Wisconsin Lutheran	Warriors	?
WIS	Wisconsin-Platteville	Pioneers	?
WIS	Wisconsin-Stevens Point	Pointers	?
WIT	Wittenberg	Tigers	?
WOF	Wofford	Terriers	FCS
WOO	Wooster	Fighting Scots	?
WPI	Worcester Polytechnic	Engineers	?
WOR	Worcester State College	Lancers	?
WRST	Wright State University	Raiders	?
WES	WV State	Yellow Jackets	?
WVW	WV Wesleyan	Bobcats	?
WYO	Wyoming	Cowboys	FBS
YALE	Yale	Bulldogs	FCS
YSU	Youngstown State	Penguins	FCS
